2017-04-06 21:51:24,244 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\main\resources
2017-04-06 21:51:24,246 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:51:24,247 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\test\resources
2017-04-06 21:51:25,070 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.arpit.java2blog:SpringRestHibernateExample:0.0.1-SNAPSHOT @ E:\server\workspace\lotteryServer\SpringRestHibernateExample\pom.xml.
2017-04-06 21:51:35,522 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:51:35,523 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\main\resources
2017-04-06 21:51:35,526 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:51:35,527 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\test\resources
2017-04-06 21:54:58,421 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:54:58,422 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\main\resources
2017-04-06 21:54:58,424 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:54:58,425 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\test\resources
2017-04-06 21:55:35,477 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:55:35,478 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\main\resources
2017-04-06 21:55:35,479 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:55:35,480 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\test\resources
